Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Tachyeres leucocephalus";"White-headed Steamer-Duck";Witkopbooteend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Lophonetta specularioides";"Crested Duck";Andeseend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Speculanas specularis";"Spectacled Duck";Bronsvleugeleend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Cairina moschata";"Muscovy Duck";Muskuseend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Nettapus pulchellus";"Green Pygmy-Goose";"Groene Dwergeend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Nettapus coromandelianus";"Cotton Pygmy-Goose";Coromandeleend;1;birds/nettapus-coromandelianus/large.jpg;birds/nettapus-coromandelianus/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Nettapus auritus";"African Pygmy-Goose";"Afrikaanse Dwergeend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Callonetta leucophrys";"Ringed Teal";Ringtaling;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Aix sponsa";"Wood Duck";Carolina-eend;1;birds/aix-sponsa/large.jpg;birds/aix-sponsa/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Aix galericulata";"Mandarin Duck";Mandarijneend;1;birds/aix-galericulata/large.jpg;birds/aix-galericulata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Chenonetta jubata";"Maned Duck";Manengans;1;birds/chenonetta-jubata/large.jpg;birds/chenonetta-jubata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Amazonetta brasiliensis";"Brazilian Teal";Amazonetaling;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Hymenolaimus malacorhynchos";"Blue Duck";"Blauwe Eend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Merganetta armata";"Torrent Duck";Bergbeekeend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Salvadorina waigiuensis";"Salvadori's Teal";"Salvadori's Eend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Sibirionetta formosa";"Baikal Teal";"Siberische Taling";1;birds/sibirionetta-formosa/large.jpg;birds/sibirionetta-formosa/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula querquedula";Garganey;Zomertaling;1;birds/spatula-querquedula/large.jpg;birds/spatula-querquedula/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula hottentota";"Blue-billed Teal";"Gouden Taling";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula versicolor";"Silver Teal";Zilvertaling;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula puna";"Puna Teal";Punataling;1;birds/spatula-puna/large.jpg;birds/spatula-puna/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula discors";"Blue-winged Teal";Blauwvleugeltaling;1;birds/spatula-discors/large.jpg;birds/spatula-discors/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula cyanoptera";"Cinnamon Teal";Kaneeltaling;1;birds/spatula-cyanoptera/large.jpg;birds/spatula-cyanoptera/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula platalea";"Red Shoveler";"Argentijnse Slobeend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula smithii";"Cape Shoveler";"Kaapse Slobeend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula rhynchotis";"Australasian Shoveler";"Australische Slobeend";1;birds/spatula-rhynchotis/large.jpg;birds/spatula-rhynchotis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Spatula clypeata";"Northern Shoveler";Slobeend;1;birds/spatula-clypeata/large.jpg;birds/spatula-clypeata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Mareca strepera";Gadwall;Krakeend;1;birds/mareca-strepera/large.jpg;birds/mareca-strepera/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Mareca falcata";"Falcated Duck";Bronskopeend;1;birds/mareca-falcata/large.jpg;birds/mareca-falcata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Mareca penelope";"Eurasian Wigeon";Smient;1;birds/mareca-penelope/large.jpg;birds/mareca-penelope/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Mareca americana";"American Wigeon";"Amerikaanse Smient";1;birds/mareca-americana/large.jpg;birds/mareca-americana/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Mareca sibilatrix";"Chiloe Wigeon";"Chileense Smient";1;birds/mareca-sibilatrix/large.jpg;birds/mareca-sibilatrix/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas sparsa";"African Black Duck";"Afrikaanse Zwarte Eend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas undulata";"Yellow-billed Duck";Geelsnaveleend;1;birds/anas-undulata/large.jpg;birds/anas-undulata/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas melleri";"Meller's Duck";"Mellers Eend";0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas superciliosa";"Pacific Black Duck";Wenkbrauweend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas laysanensis";"Laysan Duck";Laysaneend;1;birds/anas-laysanensis/large.jpg;birds/anas-laysanensis/thumb.jpg
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas wyvilliana";"Hawaiian Duck";Hawaii-eend;0;;
Anseriformes;Anatidae;"Ducks, Geese, and Waterfowl";"Ducks, Geese, and Waterfowl";"Anas luzonica";"Philippine Duck";"Filippijnse Eend";0;;
